Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Brenden Aaronson,MF,us USA,25,0.8,3,1,1.18,MF,Midfielder,PL0001,-0.96,1.6,False
Thelo Aasgaard,MF,no Norway,24,1.0,2,1,1.0,MF,Midfielder,PL0002,-0.96,1.6,False
Hamza Abdelkarim,FW,eg Egypt,18,0.7,0,0,0.0,FW,Forward,PL0003,-1.8824999999999998,3.1374999999999997,False
Yusuf Abdurisag,FW,qa Qatar,26,1.1,0,0,0.0,FW,Forward,PL0004,-1.8824999999999998,3.1374999999999997,False
Elias Achouri,"FW,MF",tn Tunisia,27,0.5,3,1,2.09,FW,Forward,PL0005,-1.8824999999999998,3.1374999999999997,False
Ché Adams,FW,sct Scotland,29,1.6,1,1,0.62,FW,Forward,PL0006,-1.8824999999999998,3.1374999999999997,False
Jayden Adams,MF,za South Africa,25,1.3,0,0,0.0,MF,Midfielder,PL0007,-0.96,1.6,False
Tyler Adams,MF,us USA,27,3.8,0,0,0.0,MF,Midfielder,PL0008,-0.96,1.6,False
Simon Adingra,"FW,MF",ci Côte d'Ivoire,24,0.2,0,0,0.0,FW,Forward,PL0009,-1.8824999999999998,3.1374999999999997,False
Michel Aebischer,"MF,FW",ch Switzerland,29,1.7,2,1,0.58,MF,Midfielder,PL0010,-0.96,1.6,False
Akram Afif,"FW,MF",qa Qatar,29,2.6,2,0,0.0,FW,Forward,PL0011,-1.8824999999999998,3.1374999999999997,False
Ali Ahmed,MF,ca Canada,25,2.6,2,1,0.38,MF,Midfielder,PL0012,-0.96,1.6,False
Yunus Akgün,MF,tr Türkiye,25,1.0,0,0,0.0,MF,Midfielder,PL0013,-0.96,1.6,False
Maghnes Akliouche,MF,fr France,24,0.1,0,0,0.0,MF,Midfielder,PL0014,-0.96,1.6,False
Kerem Aktürko?lu,FW,tr Türkiye,27,1.4,3,1,0.7,FW,Forward,PL0015,-1.8824999999999998,3.1374999999999997,False
Ahmed Alaaeldin,FW,qa Qatar,33,0.5,1,1,2.09,FW,Forward,PL0016,-1.8824999999999998,3.1374999999999997,False
Kerim Alajbegovi?,MF,ba Bosnia–Herz,18,3.1,4,1,0.32,MF,Midfielder,PL0017,-0.96,1.6,False
Jordy Alcivar,MF,ec Ecuador,26,0.5,1,0,0.0,MF,Midfielder,PL0018,-0.96,1.6,False
Almoez Ali,FW,qa Qatar,29,0.2,1,1,4.74,FW,Forward,PL0019,-1.8824999999999998,3.1374999999999997,True
Mohanad Ali,FW,iq Iraq,25,0.1,0,0,0.0,FW,Forward,PL0020,-1.8824999999999998,3.1374999999999997,False
Taha Ali,"FW,MF",se Sweden,27,0.4,0,0,0.0,FW,Forward,PL0021,-1.8824999999999998,3.1374999999999997,False
Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.5,0,0,0.0,MF,Midfielder,PL0022,-0.96,1.6,False
Ali Alipour,FW,ir IR Iran,30,0.4,1,0,0.0,FW,Forward,PL0023,-1.8824999999999998,3.1374999999999997,False
Thiago Almada,MF,ar Argentina,25,2.7,5,2,0.75,MF,Midfielder,PL0024,-0.96,1.6,False
Miguel Almirón,"MF,FW",py Paraguay,32,3.1,4,0,0.0,MF,Midfielder,PL0025,-0.96,1.6,False
Bar?? Alper Y?lmaz,"MF,FW",tr Türkiye,26,2.0,2,1,0.5,MF,Midfielder,PL0026,-0.96,1.6,False
Roberto Alvarado,"FW,MF",mx Mexico,27,4.8,5,0,0.0,FW,Forward,PL0027,-1.8824999999999998,3.1374999999999997,False
Edson Álvarez,"MF,DF",mx Mexico,28,2.7,2,0,0.0,MF,Midfielder,PL0028,-0.96,1.6,False
Julián Álvarez,FW,ar Argentina,26,6.7,11,5,0.75,FW,Forward,PL0029,-1.8824999999999998,3.1374999999999997,False
Ayoube Amaimouni,MF,ma Morocco,21,0.2,2,1,5.0,MF,Midfielder,PL0030,-0.96,1.6,True
Zeki Amdouni,"FW,MF",ch Switzerland,25,0.8,1,0,0.0,FW,Forward,PL0031,-1.8824999999999998,3.1374999999999997,False
Nadiem Amiri,MF,de Germany,29,0.5,2,1,2.14,MF,Midfielder,PL0032,-0.96,1.6,True
Amir Al Ammari,MF,iq Iraq,28,2.7,0,0,0.0,MF,Midfielder,PL0033,-0.96,1.6,False
Azizbek Amonov,FW,uz Uzbekistan,28,0.2,1,0,0.0,FW,Forward,PL0034,-1.8824999999999998,3.1374999999999997,False
Mohamed Amoura,"FW,MF",dz Algeria,26,0.3,0,0,0.0,FW,Forward,PL0035,-1.8824999999999998,3.1374999999999997,False
Sofyan Amrabat,MF,ma Morocco,29,1.6,0,0,0.0,MF,Midfielder,PL0036,-0.96,1.6,False
Youssef Amyn,MF,iq Iraq,22,0.3,0,0,0.0,MF,Midfielder,PL0037,-0.96,1.6,False
Elliot Anderson,MF,eng England,23,7.0,7,1,0.14,MF,Midfielder,PL0038,-0.96,1.6,False
Nilson Angulo,MF,ec Ecuador,22,2.4,2,2,0.83,MF,Midfielder,PL0039,-0.96,1.6,False
Jeremy Antonisse,"FW,MF",cw Curaçao,24,0.8,1,0,0.0,FW,Forward,PL0040,-1.8824999999999998,3.1374999999999997,False
Houssem Aouar,MF,dz Algeria,27,1.9,3,1,0.52,MF,Midfielder,PL0041,-0.96,1.6,False
Oswin Appollis,"MF,FW",za South Africa,24,2.8,4,1,0.35,MF,Midfielder,PL0042,-0.96,1.6,False
