Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID
6,Ali Abdi,DF,Tunisia,32,1993,3.0,8,4,Group Stage Eliminated,1.3333333333333333,Yes,ad7cdb35
7,Saud Abdulhamid,DF,Saudi Arabia,26,1999,3.0,9,2,Group Stage Eliminated,0.6666666666666666,Yes,caa254e4
8,Abdulla Abdullaev,DF,Uzbekistan,28,1997,2.0,2,3,Group Stage Eliminated,1.5,Yes,03053fbf
10,Husam Abu Dahab,DF,Jordan,26,2000,2.0,3,0,Group Stage Eliminated,0.0,Yes,300aaeb6
12,Mohannad Abu Taha,DF,Jordan,23,2003,2.9,2,6,Group Stage Eliminated,2.0689655172413794,Yes,5c4bac6c
20,Ricardo Adé,DF,Haiti,36,1990,3.0,2,5,Group Stage Eliminated,1.6666666666666667,Yes,a9ee5e81
23,Jonas Adjetey,DF,Ghana,22,2003,2.5,3,1,Knockout,0.4,Yes,bdbf78cd
26,Emmanuel Agbadou,DF,Côte d'Ivoire,28,1997,3.0,6,4,Knockout,1.3333333333333333,Yes,75f1ed80
29,Homam Ahmed,DF,Qatar,26,1999,1.4,1,3,Group Stage Eliminated,2.142857142857143,Yes,a62fa158
30,Rayan Aït-Nouri,DF,Algeria,25,2001,3.2,13,5,Knockout,1.5625,Yes,9b398aea
31,Kristoffer Ajer,DF,Norway,28,1998,5.3,8,4,Knockout,0.7547169811320755,Yes,a8c0acb7
32,Manuel Akanji,DF,Switzerland,30,1995,6.7,9,6,Knockout,0.8955223880597015,Yes,89ac64a6
33,Nathan Aké,DF,Netherlands,31,1995,1.9,0,4,Knockout,2.1052631578947367,Yes,eaeca114
38,David Alaba,DF,Austria,33,1992,3.1,1,4,Knockout,1.2903225806451613,Yes,05439de2
41,Omar Alderete,DF,Paraguay,29,1996,3.6,0,2,Knockout,0.5555555555555556,Yes,bb08bce9
43,Hussein Ali,DF,Iraq,24,2002,1.8,2,2,Group Stage Eliminated,1.1111111111111112,Yes,b8a919ad
51,Júnior Alonso,DF,Paraguay,33,1993,4.3,9,4,Knockout,0.9302325581395349,Yes,b18a3023
54,Edson Álvarez,MFDF,Mexico,28,1997,2.7,6,3,Knockout,1.111111111111111,Yes,8b3ab7ad
58,Michael Amir Murillo,DFMF,Panama,30,1996,3.0,3,1,Group Stage Eliminated,0.3333333333333333,Yes,349cae8f
64,Abdulelah Al-Amri,DF,Saudi Arabia,29,1997,2.7,2,4,Group Stage Eliminated,1.4814814814814814,Yes,fd0affe3
67,Andrés Andrade Cedeño,DF,Panama,27,1998,3.0,3,3,Group Stage Eliminated,1.0,Yes,6ea23758
74,Yazan Al-Arab,DF,Jordan,30,1996,3.0,1,11,Group Stage Eliminated,3.6666666666666665,Yes,32878a09
76,Tomás Araújo,DF,Portugal,24,2002,1.0,0,1,Knockout,1.0,Yes,0fa11d7d
79,Carlens Arcus,MFDF,Haiti,29,1996,1.6,3,3,Group Stage Eliminated,1.875,Yes,5e837126
82,Santiago Arias,DF,Colombia,34,1992,1.0,2,1,Knockout,1.0,Yes,fdd60087
86,Rustam Ashurmatov,DF,Uzbekistan,29,1996,2.8,2,7,Group Stage Eliminated,2.5,Yes,a0ecd397
89,Fredrik Aursnes,MFDF,Norway,30,1995,3.4,8,1,Knockout,0.29411764705882354,Yes,f0677ed7
92,O?uz Ayd?n,DF,Türkiye,25,2000,1.0,6,0,Group Stage Eliminated,0.0,Yes,a7b98226
108,Abdülkerim Bardakc?,DF,Türkiye,31,1994,2.9,5,2,Group Stage Eliminated,0.6896551724137931,Yes,5d9cff53
114,Riechedly Bazoer,DF,Curaçao,29,1996,1.0,1,1,Group Stage Eliminated,1.0,Yes,da59a197
120,Rafik Belghali,DF,Algeria,24,2002,3.7,3,1,Knockout,0.27027027027027023,Yes,0abcb968
129,Ramy Bensebaini,DF,Algeria,31,1995,4.0,6,7,Knockout,1.75,Yes,378825c7
137,Tyler Bindon,DF,New Zealand,21,2005,1.1,2,1,Group Stage Eliminated,0.9090909090909091,Yes,3575e5eb
138,César Blackman,MFDF,Panama,28,1998,2.0,0,1,Group Stage Eliminated,0.5,Yes,c2b11050
141,Moïse Bombito,DF,Canada,26,2000,2.1,0,1,Knockout,0.47619047619047616,Yes,c2f23fc8
144,Jordy Bos,MFDF,Australia,23,2002,3.4,3,3,Knockout,0.8823529411764706,Yes,8070a9fd
150,Nawaf Boushal,DF,Saudi Arabia,26,1999,1.0,0,1,Group Stage Eliminated,1.0,Yes,7dc1c2c6
151,Michael Boxall,DF,New Zealand,37,1988,2.3,1,2,Group Stage Eliminated,0.8695652173913044,Yes,6bfa0d3a
152,Sultan Al-Brake,DF,Qatar,30,1996,1.6,1,2,Group Stage Eliminated,1.25,Yes,fcaa2400
153,Joshua Brenet,DF,Curaçao,32,1994,2.0,4,1,Group Stage Eliminated,0.5,Yes,2b5527c4
156,Nathaniel Brown,DF,Germany,22,2003,3.1,6,2,Knockout,0.6451612903225806,Yes,abc79c47
160,Cameron Burgess,DF,Australia,30,1995,1.5,1,1,Knockout,0.6666666666666666,Yes,da61ca98
165,Liberato Cacace,DF,New Zealand,25,2000,2.4,2,3,Group Stage Eliminated,1.25,Yes,dd86e8e4
166,Juan Cáceres,DF,Paraguay,26,2000,4.8,11,5,Knockout,1.0416666666666667,Yes,db887bdf
167,Sebastián Cáceres,DF,Uruguay,26,1999,3.0,1,2,Group Stage Eliminated,0.6666666666666666,Yes,7091c68e
175,José Canale,DF,Paraguay,29,1996,1.8,6,1,Knockout,0.5555555555555556,Yes,97d24b73
176,João Cancelo,DF,Portugal,32,1994,3.5,4,5,Knockout,1.4285714285714286,Yes,bd6351cd
180,Timothy Castagne,DF,Belgium,30,1995,5.3,7,8,Knockout,1.509433962264151,Yes,197640fd
183,Zeki Çelik,DF,Türkiye,29,1997,1.8,3,1,Group Stage Eliminated,0.5555555555555556,Yes,31a62dc7
187,Št?pán Chaloupek,DF,Czechia,23,2003,1.0,0,2,Group Stage Eliminated,2.0,Yes,ded82b9a
201,Alessandro Circati,DF,Australia,22,2003,4.3,7,2,Knockout,0.46511627906976744,Yes,1223765c
202,Pathé Ciss,DF,Senegal,32,1994,2.0,0,0,Knockout,0.0,Yes,9a0408b6
207,José Córdoba,DF,Panama,25,2001,3.0,3,1,Group Stage Eliminated,0.3333333333333333,Yes,bec98750
208,Derek Cornelius,DF,Canada,28,1997,3.5,3,2,Knockout,0.5714285714285714,Yes,577744b8
212,Vladimír Coufal,MFDF,Czechia,33,1992,3.0,1,2,Group Stage Eliminated,0.6666666666666666,Yes,fdf3cb77
216,Pau Cubarsí,DF,Spain,19,2007,8.3,4,4,Knockout,0.48192771084337344,Yes,cc7888f3
