Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID
928,Arthur Theate,DF,Belgium,26,2000,2.5,0,3,Knockout,1.2,Yes,df8d6029
966,Virgil van Dijk,DF,Netherlands,34,1991,4.3,1,3,Knockout,0.6976744186046512,Yes,e06683ca
630,César Montes,DF,Mexico,29,1997,3.5,1,2,Knockout,0.5714285714285714,Yes,28e957d7
427,Yasser Ibrahim,DF,Egypt,33,1993,5.2,6,3,Knockout,0.5769230769230769,Yes,0b89ad1b
591,Mbekezeli Mbokazi,DF,South Africa,20,2005,4.0,5,4,Knockout,1.0,Yes,13398d42
141,Moïse Bombito,DF,Canada,26,2000,2.1,0,1,Knockout,0.4761904761904761,Yes,c2f23fc8
54,Edson Álvarez,MFDF,Mexico,28,1997,2.7,6,3,Knockout,1.111111111111111,Yes,8b3ab7ad
144,Jordy Bos,MFDF,Australia,23,2002,3.4,3,3,Knockout,0.8823529411764706,Yes,8070a9fd
758,Stjepan Radelji?,DF,Bosnia-Herz,28,1997,2.0,1,0,Knockout,0.0,Yes,30e03a25
697,Christopher Opéri,DF,Côte d'Ivoire,29,1997,1.0,2,1,Knockout,1.0,Yes,914bb955
626,Johan Mojica,DF,Colombia,33,1992,4.3,3,3,Knockout,0.6976744186046512,Yes,608f2092
563,Aïssa Mandi,DF,Algeria,34,1991,4.0,3,4,Knockout,1.0,Yes,fbd6378b
160,Cameron Burgess,DF,Australia,30,1995,1.5,1,1,Knockout,0.6666666666666666,Yes,da61ca98
870,Nkosinathi Sibisi,DF,South Africa,30,1995,1.0,0,1,Knockout,1.0,Yes,932f8e2b
519,Aymeric Laporte,DF,Spain,32,1994,8.1,3,14,Knockout,1.7283950617283952,Yes,119b9a8e
668,Nathan Ngoy,DF,Belgium,23,2003,3.7,4,7,Knockout,1.891891891891892,Yes,eb7abf2e
601,Facundo Medina,DF,Argentina,27,1999,3.4,7,2,Knockout,0.5882352941176471,Yes,6f5ec8bb
438,Ko Itakura,DF,Japan,29,1997,1.4,0,1,Knockout,0.7142857142857143,Yes,97d545ae
382,Achraf Hakimi,DF,Morocco,27,1998,6.3,10,5,Knockout,0.7936507936507937,Yes,e42d61c7
282,Nico Elvedi,DF,Switzerland,29,1996,6.7,2,6,Knockout,0.8955223880597015,Yes,48035304
235,Maxim De Cuyper,DF,Belgium,25,2000,4.9,2,6,Knockout,1.2244897959183672,Yes,d494882e
202,Pathé Ciss,DF,Senegal,32,1994,2.0,0,0,Knockout,0.0,Yes,9a0408b6
825,Davinson Sánchez,DF,Colombia,30,1996,5.3,2,6,Knockout,1.1320754716981132,Yes,da7b447d
576,Lisandro Martínez,DF,Argentina,28,1998,6.9,7,6,Knockout,0.8695652173913043,Yes,bac46a10
440,Hiroki Ito,DF,Japan,27,1999,4.0,2,0,Knockout,0.0,Yes,204dded0
701,Nicolás Otamendi,DF,Argentina,38,1988,2.7,2,6,Knockout,2.222222222222222,Yes,0d267745
688,Ime Okon,DF,South Africa,22,2004,4.0,2,5,Knockout,1.25,Yes,3cb58055
166,Juan Cáceres,DF,Paraguay,26,2000,4.8,11,5,Knockout,1.0416666666666667,Yes,db887bdf
317,Alan Franco,DF,Ecuador,27,1998,2.8,6,4,Knockout,1.4285714285714286,Yes,c76b161b
495,Sead Kolašinac,DF,Bosnia-Herz,32,1993,3.7,6,2,Knockout,0.5405405405405405,Yes,3935e52e
890,Josip Staniši?,DFMF,Croatia,26,2000,4.0,2,5,Knockout,1.25,Yes,7ed08d5c
439,Jacob Italiano,DF,Australia,24,2001,1.8,2,1,Knockout,0.5555555555555556,Yes,2eb0ee9a
33,Nathan Aké,DF,Netherlands,31,1995,1.9,0,4,Knockout,2.1052631578947367,Yes,eaeca114
727,Ivan Periši?,MFDF,Croatia,37,1989,4.0,4,4,Knockout,1.0,Yes,6fe90922
894,John Stones,DF,England,32,1994,3.7,0,0,Knockout,0.0,Yes,5eecec3d
855,Marcos Senesi,DF,Argentina,29,1997,1.2,0,2,Knockout,1.6666666666666667,Yes,35141f4c
501,Teun Koopmeiners,DFMF,Netherlands,28,1998,1.4,1,1,Knockout,0.7142857142857143,Yes,a26fb8aa
631,Gonzalo Montiel,DF,Argentina,29,1997,2.1,3,3,Knockout,1.4285714285714286,Yes,374d5158
360,Marc Guéhi,DF,England,25,2000,7.4,1,6,Knockout,0.8108108108108107,Yes,d0706b27
259,Lucas Digne,DF,France,32,1993,5.1,3,2,Knockout,0.3921568627450981,Yes,1b84dbe1
339,Lee Gi-hyuk,DF,Korea Republic,25,2000,3.0,4,5,Group Stage Eliminated,1.6666666666666667,Yes,18c8c3c7
153,Joshua Brenet,DF,Curaçao,32,1994,2.0,4,1,Group Stage Eliminated,0.5,Yes,2b5527c4
472,Hossein Kanaanizadegan,DF,IR Iran,32,1994,1.5,0,2,Group Stage Eliminated,1.3333333333333333,Yes,24353c25
661,Ali Nemati,DF,IR Iran,30,1996,3.0,2,0,Group Stage Eliminated,0.0,Yes,19a221f7
6,Ali Abdi,DF,Tunisia,32,1993,3.0,8,4,Group Stage Eliminated,1.3333333333333333,Yes,ad7cdb35
187,Št?pán Chaloupek,DF,Czechia,23,2003,1.0,0,2,Group Stage Eliminated,2.0,Yes,ded82b9a
322,Juriën Gaari,DF,Curaçao,32,1993,1.8,2,2,Group Stage Eliminated,1.1111111111111112,Yes,bf7a9d1a
617,Kim Min-jae,DF,Korea Republic,29,1996,2.7,2,2,Group Stage Eliminated,0.7407407407407407,Yes,e0f8151c
67,Andrés Andrade Cedeño,DF,Panama,27,1998,3.0,3,3,Group Stage Eliminated,1.0,Yes,6ea23758
386,Mohamed Amine Ben Hamida,DF,Tunisia,30,1995,2.2,9,1,Group Stage Eliminated,0.4545454545454545,Yes,2a5e8f82
881,Ellyes Skhiri,MFDF,Tunisia,31,1995,2.8,1,2,Group Stage Eliminated,0.7142857142857143,Yes,c2211709
287,Fidel Escobar,DF,Panama,31,1995,1.0,2,1,Group Stage Eliminated,1.0,Yes,4991ec66
477,Bekhruz Karimov,DF,Uzbekistan,18,2007,2.0,5,3,Group Stage Eliminated,1.5,Yes,74cdaeba
923,Hassan Al Tambakti,DF,Saudi Arabia,27,1999,2.4,3,3,Group Stage Eliminated,1.25,Yes,6d78c320
79,Carlens Arcus,MFDF,Haiti,29,1996,1.6,3,3,Group Stage Eliminated,1.875,Yes,5e837126
12,Mohannad Abu Taha,DF,Jordan,23,2003,2.9,2,6,Group Stage Eliminated,2.0689655172413794,Yes,5c4bac6c
138,César Blackman,MFDF,Panama,28,1998,2.0,0,1,Group Stage Eliminated,0.5,Yes,c2b11050
212,Vladimír Coufal,MFDF,Czechia,33,1992,3.0,1,2,Group Stage Eliminated,0.6666666666666666,Yes,fdf3cb77
395,Akam Hashim,DF,Iraq,27,1998,3.0,1,2,Group Stage Eliminated,0.6666666666666666,Yes,f8416e89
523,Issa Laye,MFDF,Qatar,28,1997,3.0,1,1,Group Stage Eliminated,0.3333333333333333,Yes,c078667a
703,Ayoub Al-Oui,DF,Qatar,21,2005,1.7,0,2,Group Stage Eliminated,1.1764705882352942,Yes,010e5bae
656,Sherzod Nasrullaev,DFMF,Uzbekistan,27,1998,2.0,2,2,Group Stage Eliminated,1.0,Yes,aeb0c7f7
763,Jiovany Ramos,DF,Panama,29,1997,1.8,1,3,Group Stage Eliminated,1.6666666666666663,Yes,30cda59f
244,Merih Demiral,DF,Türkiye,28,1998,2.0,1,1,Group Stage Eliminated,0.5,Yes,e3cceee6
274,Jean-Kevin Duverne,DF,Haiti,28,1997,1.9,2,4,Group Stage Eliminated,2.1052631578947367,Yes,0cbc8baa
74,Yazan Al-Arab,DF,Jordan,30,1996,3.0,1,11,Group Stage Eliminated,3.6666666666666665,Yes,32878a09
624,Milad Mohammadi,DF,IR Iran,32,1993,2.3,4,2,Group Stage Eliminated,0.8695652173913044,Yes,740a0e28
