player_name,Pos,MP,Min,goals,height_cm,weight_kg,Team,team_status,BMI
Ãlex Baena,"MF,FW",7,481,1,175,69,Spain,advanced,22.53061224489796
Mikel Merino,MF,8,199,2,188,83,Spain,advanced,23.48347668628339
Mikel Oyarzabal,FW,8,601,5,181,78,Spain,advanced,23.808797045267237
Pedro Porro,DF,6,563,2,176,68,Spain,advanced,21.952479338842977
Fabián Ruiz Peña,MF,8,321,1,189,69,Spain,advanced,19.31636852271773
Ferran Torres,FW,8,288,1,184,79,Spain,advanced,23.334120982986768
Lamine Yamal,"MF,FW",8,614,1,180,76,Spain,advanced,23.456790123456788
Pau CubarsÃ­,DF,8,750,0,181,78,Spain,advanced,23.808797045267237
Marc Cucurella,DF,8,750,0,175,66,Spain,advanced,21.551020408163264
Eric GarcÃ­a,"DF,MF",1,22,0,183,77,Spain,advanced,22.99262444384723
Gavi,FW,2,76,0,173,68,Spain,advanced,22.720438370810918
Borja Iglesias,FW,1,1,0,187,86,Spain,advanced,24.59321112985787
Aymeric Laporte,DF,8,727,0,189,86,Spain,advanced,24.075473810923548
Marcos Llorente,DF,3,187,0,182,73,Spain,advanced,22.03840115928028
Dani Olmo,MF,8,491,0,176,73,Spain,advanced,23.56663223140496
Pedri,MF,8,499,0,174,68,Spain,advanced,22.460034350640772
Yéremy Pino,"FW,MF",2,70,0,172,64,Spain,advanced,21.63331530557058
Marc Pubill,DF,1,1,0,190,86,Spain,advanced,23.822714681440445
Rodri,MF,8,724,0,190,84,Spain,advanced,23.26869806094183
Unai Simón,GK,8,750,0,190,87,Spain,advanced,24.099722991689752
Nico Williams,MF,6,113,0,180,67,Spain,advanced,20.679012345679013
Martín Zubimendi,MF,1,22,0,180,73,Spain,advanced,22.530864197530864
JuliÃ¡n Ãlvarez,FW,8,602,1,173,71,Argentina,advanced,23.722810651876106
Enzo FernÃ¡ndez,MF,7,659,2,178,76,Argentina,advanced,23.98687034465345
Giovani Lo Celso,MF,1,59,1,175,68,Argentina,advanced,22.20408163265306
Alexis Mac Allister,MF,8,750,1,174,73,Argentina,advanced,24.111507464658473
Lautaro MartÃ­nez,FW,7,310,3,174,72,Argentina,advanced,23.781212841854934
Lisandro MartÃ­nez,DF,7,624,1,178,78,Argentina,advanced,24.61810377477591
Lionel Messi,FW,8,740,8,170,67,Argentina,advanced,23.18339100346021
Cristian Romero,DF,7,608,1,185,78,Argentina,advanced,22.79035792549306
Thiago Almada,MF,5,241,0,170,62,Argentina,advanced,21.453287197231838
ValentÃ­n Barco,"DF,MF",1,20,0,186,66,Argentina,advanced,19.07734998265695
Rodrigo De Paul,MF,7,491,0,178,69,Argentina,advanced,21.777553339224845
NicolÃ¡s GonzÃ¡lez,MF,7,259,0,180,72,Argentina,advanced,22.22222222222222
Flaco LÃ³pez,FW,2,20,0,188,77,Argentina,advanced,21.785875961973744
Emiliano MartÃ­nez,GK,8,810,0,193,97,Argentina,advanced,26.040967542752828
Facundo Medina,DF,5,308,0,184,78,Argentina,advanced,23.03875236294896
Nahuel Molina,DF,7,528,0,175,69,Argentina,advanced,22.53061224489796
Gonzalo Montiel,DF,6,192,0,180,68,Argentina,advanced,20.98765432098765
NicolÃ¡s Otamendi,DF,7,247,0,183,82,Argentina,advanced,24.48565200513601
Exequiel Palacios,DF,1,90,0,177,68,Argentina,advanced,21.705129432793896
Leandro Paredes,MF,7,473,0,182,74,Argentina,advanced,22.34029706557179
NicolÃ¡s Paz,MF,2,71,0,185,81,Argentina,advanced,23.66691015339664
Marcos Senesi,DF,2,109,0,184,78,Argentina,advanced,23.03875236294896
Giuliano Simeone,FW,3,192,0,184,74,Argentina,advanced,21.85727788279773
NicolÃ¡s Tagliafico,DF,7,476,0,172,64,Argentina,advanced,21.63331530557058
Jude Bellingham,MF,8,614,7,186,74,England,advanced,21.389756041160826
Anthony Gordon,MF,6,396,1,173,72,England,advanced,24.0569347455645
Harry Kane,FW,7,652,6,188,86,England,advanced,24.332277048438208
Ezri Konsa,DF,8,647,1,183,77,England,advanced,22.99262444384723
Marcus Rashford,MF,6,223,1,180,79,England,advanced,24.382716049382715
Declan Rice,MF,7,557,1,185,83,England,advanced,24.251278305332356
Bukayo Saka,MF,7,358,3,178,72,England,advanced,22.724403484408533
Elliot Anderson,MF,8,632,0,179,72,England,advanced,22.47120876377142
Dan Burn,DF,3,35,0,198,87,England,advanced,22.19161310070401
Trevoh Chalobah,"DF,MF",1,1,0,190,74,England,advanced,20.498614958448755
Eberechi Eze,MF,5,211,0,173,73,England,advanced,24.3910588392529
Marc GuÃ©hi,DF,8,663,0,182,79,England,advanced,23.849776597029344
Dean Henderson,GK,1,90,0,188,84,England,advanced,23.766410140334994
Jordan Henderson,MF,1,7,0,182,78,England,advanced,23.54788069073783
Reece James,DF,5,319,0,172,82,England,advanced,27.717685235262305
Noni Madueke,MF,5,286,0,176,74,England,advanced,23.889462809917354
Nico O'Reilly,DF,7,461,0,193,77,England,advanced,20.671695884453275
Jordan Pickford,GK,7,660,0,185,77,England,advanced,22.498173849525198
Jarell Quansah,DF,3,197,0,193,83,England,advanced,22.28247738194314
Morgan Rogers,MF,7,339,0,189,79,England,advanced,22.11584222166233
Djed Spence,DF,8,404,0,183,71,England,advanced,21.20099137030069
John Stones,DF,5,330,0,188,78,England,advanced,22.068809416025353
Ivan Toney,FW,2,79,0,179,87,England,advanced,27.15271058955713
Ollie Watkins,"FW,MF",2,52,0,180,69,England,advanced,21.296296296296294
Bradley Barcola,MF,8,384,3,188,73,France,advanced,20.654142145767317
Ousmane Dembélé,MF,8,592,6,178,67,France,advanced,21.146319909102385
Désiré Doué,MF,8,400,1,178,78,France,advanced,24.61810377477591
Kylian Mbappé,FW,8,695,10,178,74,France,advanced,23.355636914530994
Maghnes Akliouche,MF,1,8,0,175,69,France,advanced,22.53061224489796
Rayan Cherki,MF,7,130,0,176,71,France,advanced,22.920971074380166
Lucas Digne,DF,6,463,0,178,73,France,advanced,23.04002019946976
Malo Gusto,DF,5,121,0,179,69,France,advanced,21.534908398614277
Theo HernÃ¡ndez,DF,5,257,0,184,81,France,advanced,23.92485822306238
Ibrahima KonatÃ©,DF,2,60,0,193,94,France,advanced,25.235576794007894
Manu KonÃ©,MF,5,385,0,181,79,France,advanced,24.114038033027075
Jules KoundÃ©,DF,8,599,0,178,83,France,advanced,26.19618735008206
Maxence Lacroix,DF,3,241,0,190,87,France,advanced,24.099722991689752
Mike Maignan,GK,8,720,0,187,88,France,advanced,25.165146272412706
Jean-Philippe Mateta,FW,3,24,0,192,87,France,advanced,23.600260416666668
Michael Olise,MF,8,646,0,178,78,France,advanced,24.61810377477591
Adrien Rabiot,MF,7,585,0,188,86,France,advanced,24.332277048438208
William Saliba,DF,6,479,0,193,92,France,advanced,24.69864962817794
AurÃ©lien TchouamÃ©ni,MF,4,360,0,185,81,France,advanced,23.66691015339664
Marcus Thuram,"FW,MF",1,1,0,189,89,France,advanced,24.915315920606925
Dayot Upamecano,DF,8,660,0,188,89,France,advanced,25.18107741059303
Warren ZaÃ¯re-Emery,MF,2,110,0,178,68,France,advanced,21.461936624163616
Issa Diop,DF,5,476,1,194,92,Morocco,advanced,24.444680624933575
Achraf Hakimi,DF,6,570,1,177,73,Morocco,advanced,23.301094832264035
Azzedine Ounahi,MF,6,435,2,182,63,Morocco,advanced,19.01944209636517
Soufiane Rahimi,FW,6,163,2,180,78,Morocco,advanced,24.074074074074073
Ismael Saibari,FW,5,381,3,185,81,Morocco,advanced,23.66691015339664
Gessime Yassine,MF,3,80,1,172,62,Morocco,advanced,20.9572742022715
Ayoube Amaimouni,MF,2,18,0,179,69,Morocco,advanced,21.534908398614277
Sofyan Amrabat,MF,3,147,0,173,83,Morocco,advanced,27.732299776136855
Neil El Aynaoui,MF,6,562,0,182,77,Morocco,advanced,23.24598478444632
Ayyoub Bouaddi,MF,5,381,0,186,72,Morocco,advanced,20.811654526534856
Yassine Bounou,GK,6,570,0,190,78,Morocco,advanced,21.606648199445985
Brahim DÃ­az,MF,6,457,0,170,68,Morocco,advanced,23.529411764705884
Redouane Halhal,DF,2,180,0,185,78,Morocco,advanced,22.79035792549306
Ayoub El Kaabi,FW,1,69,0,182,76,Morocco,advanced,22.944088878154812
Bilal El Khannouss,"MF,FW",6,461,0,180,69,Morocco,advanced,21.296296296296294
Noussair Mazraoui,DF,6,477,0,183,64,Morocco,advanced,19.1107527844964
Samir El Mourabet,MF,5,81,0,186,74,Morocco,advanced,21.389756041160826
