Number,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Height,Weight,Team,Team_Status
15,Ãlex Baena,"MF,FW",1.es AtlÃ©tico Madrid,"Roquetas de Mar, Spain",7/20/2001,24,7,481,1,175,69,Spain,advanced
6,Mikel Merino,MF,1.eng Arsenal,"Pamplona, Spain",6/22/1996,29,8,199,2,188,83,Spain,advanced
21,Mikel Oyarzabal,FW,1.es Real Sociedad,"Eibar, Spain",4/21/1997,29,8,601,5,181,78,Spain,advanced
12,Pedro Porro,DF,1.eng Tottenham,"Don Benito, Spain",9/13/1999,26,6,563,2,176,68,Spain,advanced
8,Fabián Ruiz Peña,MF,1.fr PSG,"Los Palacios y Villafranca, Spain",4/3/1996,30,8,321,1,189,69,Spain,advanced
7,Ferran Torres,FW,1.es Barcelona,"Foios, Spain",2/29/2000,26,8,288,1,184,79,Spain,advanced
19,Lamine Yamal,"MF,FW",1.es Barcelona,"MatarÃ³, Spain",7/13/2007,18,8,614,1,180,76,Spain,advanced
22,Pau CubarsÃ­,DF,1.es Barcelona,"BescanÃ³, Spain",1/22/2007,19,8,750,0,181,78,Spain,advanced
24,Marc Cucurella,DF,1.eng Chelsea,"Alella, Spain",7/22/1998,27,8,750,0,175,66,Spain,advanced
4,Eric GarcÃ­a,"DF,MF",1.es Barcelona,"Barcelona, Spain",1/9/2001,25,1,22,0,183,77,Spain,advanced
9,Gavi,FW,1.es Barcelona,"Los Palacios y Villafranca, Spain",8/5/2004,21-310,2,76,0,173,68,Spain,advanced
26,Borja Iglesias,FW,1.es Celta Vigo,"Santiago de Compostela, Spain",1/17/1993,33-145,1,1,0,187,86,Spain,advanced
14,Aymeric Laporte,DF,1.es Athletic Club,"Agen, France",5/27/1994,32-015,8,727,0,189,86,Spain,advanced
5,Marcos Llorente,DF,1.es AtlÃ©tico Madrid,"Madrid, Spain",1/30/1995,31-132,3,187,0,182,73,Spain,advanced
10,Dani Olmo,MF,1.es Barcelona,"Terrassa, Spain",5/7/1998,28-035,8,491,0,176,73,Spain,advanced
20,Pedri,MF,1.es Barcelona,"Bajamar, Spain",11/25/2002,23-198,8,499,0,174,68,Spain,advanced
11,Yéremy Pino,"FW,MF",1.eng Crystal Palace,"Las Palmas de Gran Canaria, Spain",10/20/2002,23-234,2,70,0,172,64,Spain,advanced
2,Marc Pubill,DF,1.es AtlÃ©tico Madrid,"Terrassa, Spain",6/20/2003,22-356,1,1,0,190,86,Spain,advanced
16,Rodri,MF,1.eng Manchester City,"Madrid, Spain",6/22/1996,29-354,8,724,0,190,84,Spain,advanced
23,Unai Simón,GK,1.es Athletic Club,"Gasteiz / Vitoria, Spain",6/11/1997,29-000,8,750,0,190,87,Spain,advanced
17,Nico Williams,MF,1.es Athletic Club,"Pamplona, Spain",7/12/2002,23-334,6,113,0,180,67,Spain,advanced
