MatchID,Date,Match,Team,Opponent,Goals_For,Goals_Against,Result,Ball_Possession_pct
1,2026-06-11,Mexico vs South Africa,Mexico,South Africa,2,0,Win,61
1,2026-06-11,Mexico vs South Africa,South Africa,Mexico,0,2,Loss,40
2,2026-06-11,Korea Republic vs Czechia,Korea Republic,Czechia,2,1,Win,62
2,2026-06-11,Korea Republic vs Czechia,Czechia,Korea Republic,1,2,Loss,38
3,2026-06-12,Canada vs Bosnia–Herz,Canada,Bosnia–Herz,1,1,Draw,61
3,2026-06-12,Canada vs Bosnia–Herz,Bosnia–Herz,Canada,1,1,Draw,39
4,2026-06-12,USA vs Paraguay,USA,Paraguay,4,1,Win,65
4,2026-06-12,USA vs Paraguay,Paraguay,USA,1,4,Loss,35
5,2026-06-13,Qatar vs Switzerland,Qatar,Switzerland,1,1,Draw,32
5,2026-06-13,Qatar vs Switzerland,Switzerland,Qatar,1,1,Draw,68
6,2026-06-13,Brazil vs Morocco,Brazil,Morocco,1,1,Draw,51
6,2026-06-13,Brazil vs Morocco,Morocco,Brazil,1,1,Draw,49
7,2026-06-13,Australia vs Türkiye,Australia,Türkiye,2,0,Win,28
7,2026-06-13,Australia vs Türkiye,Türkiye,Australia,0,2,Loss,72
8,2026-06-13,Haiti vs  Scotland,Haiti,Scotland,0,1,Loss,54
8,2026-06-13,Haiti vs  Scotland,Scotland,Haiti,1,0,Win,46
9,2026-06-14,Germany vs Curaçao,Germany,Curaçao,7,1,Win,65
9,2026-06-14,Germany vs Curaçao,Curaçao,Germany,1,7,Loss,35
10,2026-06-14,Netherlands vs Japan,Netherlands,Japan,2,2,Draw,60
10,2026-06-14,Netherlands vs Japan,Japan,Netherlands,2,2,Draw,40
11,2026-06-14,Côte d'Ivoire vs Ecuador,Côte d'Ivoire,Ecuador,1,0,Win,48
11,2026-06-14,Côte d'Ivoire vs Ecuador,Ecuador,Côte d'Ivoire,0,1,Loss,52
12,2026-06-14,Sweden vs Tunisia,Sweden,Tunisia,5,1,Win,49
12,2026-06-14,Sweden vs Tunisia,Tunisia,Sweden,1,5,Loss,51
