MatchID,Match,Team,Result,Ball_Possession_pct
1,Mexico vs South Africa,Mexico,Win,61
1,Mexico vs South Africa,South Africa,Loss,40
2,Korea Republic vs Czechia,Korea Republic,Win,62
2,Korea Republic vs Czechia,Czechia,Loss,38
3,Canada vs Bosnia–Herz,Canada,Draw,61
3,Canada vs Bosnia–Herz,Bosnia–Herz,Draw,39
4,USA vs Paraguay,USA,Win,65
4,USA vs Paraguay,Paraguay,Loss,35
5,Qatar vs Switzerland,Qatar,Draw,32
5,Qatar vs Switzerland,Switzerland,Draw,68
6,Brazil vs Morocco,Brazil,Draw,51
6,Brazil vs Morocco,Morocco,Draw,49
7,Australia vs Türkiye,Australia,Win,28
7,Australia vs Türkiye,Türkiye,Loss,72
8,Haiti vs  Scotland,Haiti,Loss,54
8,Haiti vs  Scotland,Scotland,Win,46
9,Germany vs Curaçao,Germany,Win,65
9,Germany vs Curaçao,Curaçao,Loss,35
10,Netherlands vs Japan,Netherlands,Draw,60
10,Netherlands vs Japan,Japan,Draw,40
11,Côte d'Ivoire vs Ecuador,Côte d'Ivoire,Win,48
11,Côte d'Ivoire vs Ecuador,Ecuador,Loss,52
12,Sweden vs Tunisia,Sweden,Win,49
12,Sweden vs Tunisia,Tunisia,Loss,51
13,Belgium vs Egypt,Belgium,Draw,54
13,Belgium vs Egypt,Egypt,Draw,46
14,Spain vs Cabo Verde,Spain,Draw,74
14,Spain vs Cabo Verde,Cabo Verde,Draw,26
15,Saudi Arabia vs Uruguay,Saudi Arabia,Draw,33
15,Saudi Arabia vs Uruguay,Uruguay,Draw,67
16,IR Iran vs New Zealand,IR Iran,Draw,48
16,IR Iran vs New Zealand,New Zealand,Draw,52
17,France vs Senegal,France,Win,54
17,France vs Senegal,Senegal,Loss,46
18,Iraq vs Norway,Iraq,Loss,39
18,Iraq vs Norway,Norway,Win,61
19,Argentina vs Algeria,Argentina,Win,48
19,Argentina vs Algeria,Algeria,Loss,52
20,Austria vs Jordan,Austria,Win,63
20,Austria vs Jordan,Jordan,Loss,37
21,Portugal vs Congo DR,Portugal,Draw,75
21,Portugal vs Congo DR,Congo DR,Draw,25
22,England  vs Croatia,England ,Win,52
22,England  vs Croatia,Croatia,Loss,48
23,Ghana vs Panama,Ghana,Win,38
23,Ghana vs Panama,Panama,Loss,62
24,Uzbekistan vs Colombia,Uzbekistan,Loss,39
24,Uzbekistan vs Colombia,Colombia,Win,62
25,Czechia vs South Africa,Czechia,Draw,38
25,Czechia vs South Africa,South Africa,Draw,62
26,Switzerland vs Bosnia–Herz,Switzerland,Win,62
26,Switzerland vs Bosnia–Herz,Bosnia–Herz,Loss,38
27,Canada vs Qatar,Canada,Win,79
27,Canada vs Qatar,Qatar,Loss,21
28,Mexico vs Korea Republic,Mexico,Win,42
28,Mexico vs Korea Republic,Korea Republic,Loss,58
29,USA vs Australia,USA,Win,62
29,USA vs Australia,Australia,Loss,38
30,Scotland  vs Morocco,Scotland ,Loss,41
30,Scotland  vs Morocco,Morocco,Win,59
31,Türkiye vs Paraguay,Türkiye,Loss,79
31,Türkiye vs Paraguay,Paraguay,Win,22
32,Brazil vs Haiti,Brazil,Win,57
32,Brazil vs Haiti,Haiti,Loss,43
33,Netherlands vs Sweden,Netherlands,Win,51
33,Netherlands vs Sweden,Sweden,Loss,49
34,Germany vs Côte d'Ivoire,Germany,Win,59
34,Germany vs Côte d'Ivoire,Côte d'Ivoire,Loss,41
35,Ecuador vs Curaçao,Ecuador,Draw,75
35,Ecuador vs Curaçao,Curaçao,Draw,25
36,Tunisia vs Japan,Tunisia,Loss,38
36,Tunisia vs Japan,Japan,Win,62
37,Spain vs Saudi Arabia,Spain,Win,67
37,Spain vs Saudi Arabia,Saudi Arabia,Loss,33
38,Belgium vs IR Iran,Belgium,Draw,70
38,Belgium vs IR Iran,IR Iran,Draw,30
39,Uruguay vs Cabo Verde,Uruguay,Draw,65
39,Uruguay vs Cabo Verde,Cabo Verde,Draw,35
40,New Zealand vs Egypt,New Zealand,Loss,44
40,New Zealand vs Egypt,Egypt,Win,56
41,Argentina vs Austria,Argentina,Win,54
41,Argentina vs Austria,Austria,Loss,46
42,France vs Iraq,France,Win,56
42,France vs Iraq,Iraq,Loss,45
43,Norway vs Senegal,Norway,Win,42
43,Norway vs Senegal,Senegal,Loss,58
44,Jordan vs Algeria,Jordan,Loss,28
44,Jordan vs Algeria,Algeria,Win,72
45,Portugal vs Uzbekistan,Portugal,Win,66
45,Portugal vs Uzbekistan,Uzbekistan,Loss,34
46,England  vs Ghana,England ,Draw,79
46,England  vs Ghana,Ghana,Draw,21
47,Panama vs Croatia,Panama,Loss,42
47,Panama vs Croatia,Croatia,Win,58
48,Colombia vs Congo DR,Colombia,Win,64
48,Colombia vs Congo DR,Congo DR,Loss,37
49,Switzerland vs Canada,Switzerland,Win,55
49,Switzerland vs Canada,Canada,Loss,45
50,Bosnia–Herz vs Qatar,Bosnia–Herz,Win,55
50,Bosnia–Herz vs Qatar,Qatar,Loss,46
51,Scotland  vs Brazil,Scotland ,Loss,46
51,Scotland  vs Brazil,Brazil,Win,54
52,Morocco vs Haiti,Morocco,Win,69
52,Morocco vs Haiti,Haiti,Loss,31
53,South Africa vs Korea Republic,South Africa,Win,32
53,South Africa vs Korea Republic,Korea Republic,Loss,69
54,Czechia vs Mexico,Czechia,Loss,52
54,Czechia vs Mexico,Mexico,Win,48
55,Curaçao vs Côte d'Ivoire,Curaçao,Loss,37
55,Curaçao vs Côte d'Ivoire,Côte d'Ivoire,Win,63
56,Ecuador vs Germany,Ecuador,Win,39
56,Ecuador vs Germany,Germany,Loss,61
57,Tunisia vs Netherlands,Tunisia,Loss,29
57,Tunisia vs Netherlands,Netherlands,Win,72
58,Japan vs Sweden,Japan,Draw,52
58,Japan vs Sweden,Sweden,Draw,48
59,Türkiye vs USA,Türkiye,Win,48
59,Türkiye vs USA,USA,Loss,53
60,Paraguay vs Australia,Paraguay,Draw,44
60,Paraguay vs Australia,Australia,Draw,56
61,Norway vs France,Norway,Loss,43
61,Norway vs France,France,Win,57
62,Senegal vs Iraq,Senegal,Win,69
62,Senegal vs Iraq,Iraq,Loss,31
63,Uruguay vs Spain,Uruguay,Loss,33
63,Uruguay vs Spain,Spain,Win,67
64,Cabo Verde vs Saudi Arabia,Cabo Verde,Draw,51
64,Cabo Verde vs Saudi Arabia,Saudi Arabia,Draw,49
65,Egypt vs IR Iran,Egypt,Draw,61
65,Egypt vs IR Iran,IR Iran,Draw,39
66,New Zealand vs Belgium,New Zealand,Loss,45
66,New Zealand vs Belgium,Belgium,Win,55
67,Croatia vs Ghana,Croatia,Win,53
67,Croatia vs Ghana,Ghana,Loss,47
68,Panama vs  England,Panama,Loss,33
68,Panama vs  England,England,Win,67
69,Congo DR vs Uzbekistan,Congo DR,Win,58
69,Congo DR vs Uzbekistan,Uzbekistan,Loss,42
70,Colombia vs Portugal,Colombia,Draw,55
70,Colombia vs Portugal,Portugal,Draw,45
71,Jordan vs Argentina,Jordan,Loss,27
71,Jordan vs Argentina,Argentina,Win,73
72,Algeria vs Austria,Algeria,Draw,65
72,Algeria vs Austria,Austria,Draw,35
73,South Africa vs Canada,South Africa,Loss,58
73,South Africa vs Canada,Canada,Win,42
74,Brazil vs Japan,Brazil,Win,69
74,Brazil vs Japan,Japan,Loss,31
75,Germany vs Paraguay,Germany,Draw,75
75,Germany vs Paraguay,Paraguay,Draw,25
76,Netherlands vs Morocco,Netherlands,Draw,30
76,Netherlands vs Morocco,Morocco,Draw,70
77,Côte d'Ivoire vs Norway,Côte d'Ivoire,Loss,47
77,Côte d'Ivoire vs Norway,Norway,Win,53
78,France vs Sweden,France,Win,61
78,France vs Sweden,Sweden,Loss,39
79,Mexico vs Ecuador,Mexico,Win,43
79,Mexico vs Ecuador,Ecuador,Loss,57
80,England  vs Congo DR,England ,Win,60
80,England  vs Congo DR,Congo DR,Loss,40
81,Belgium vs Senegal,Belgium,Win,52
81,Belgium vs Senegal,Senegal,Loss,48
82,USA vs Bosnia–Herz,USA,Win,48
82,USA vs Bosnia–Herz,Bosnia–Herz,Loss,52
83,Spain vs Austria,Spain,Win,65
83,Spain vs Austria,Austria,Loss,36
84,Portugal vs Croatia,Portugal,Win,61
84,Portugal vs Croatia,Croatia,Loss,40
85,Switzerland vs Algeria,Switzerland,Win,45
85,Switzerland vs Algeria,Algeria,Loss,55
86,Australia vs Egypt,Australia,Draw,42
86,Australia vs Egypt,Egypt,Draw,58
87,Argentina vs Cabo Verde,Argentina,Win,64
87,Argentina vs Cabo Verde,Cabo Verde,Loss,37
88,Colombia vs Ghana,Colombia,Win,61
88,Colombia vs Ghana,Ghana,Loss,39
89,Canada vs Morocco,Canada,Loss,45
89,Canada vs Morocco,Morocco,Win,55
90,Paraguay vs France,Paraguay,Loss,24
90,Paraguay vs France,France,Win,76
91,Brazil vs Norway,Brazil,Loss,34
91,Brazil vs Norway,Norway,Win,66
92,Mexico vs  England,Mexico,Loss,67
92,Mexico vs  England,England,Win,33
93,Portugal vs Spain,Portugal,Loss,45
93,Portugal vs Spain,Spain,Win,56
94,USA vs Belgium,USA,Loss,56
94,USA vs Belgium,Belgium,Win,44
95,Argentina vs Egypt,Argentina,Win,64
95,Argentina vs Egypt,Egypt,Loss,36
96,Switzerland vs Colombia,Switzerland,Draw,53
96,Switzerland vs Colombia,Colombia,Draw,47
97,France vs Morocco,France,Win,48
97,France vs Morocco,Morocco,Loss,52
98,Spain vs Belgium,Spain,Win,68
98,Spain vs Belgium,Belgium,Loss,32
99,Norway vs  England,Norway,Loss,48
99,Norway vs  England,England,Win,52
100,Argentina vs Switzerland,Argentina,Win,59
100,Argentina vs Switzerland,Switzerland,Loss,41
101,France vs Spain,France,Loss,49
101,France vs Spain,Spain,Win,51
102,England  vs Argentina,England ,Loss,36
102,England  vs Argentina,Argentina,Win,64
103,France vs  England,France,Loss,46
103,France vs  England,England,Win,54
104,Spain vs Argentina,Spain,Win,65
104,Spain vs Argentina,Argentina,Loss,35
