MatchID,Match,Team,Result,Ball_Possession_pct
44,Jordan vs Algeria,Algeria,Win,72
1,Mexico vs South Africa,Mexico,Win,61
33,Netherlands vs Sweden,Netherlands,Win,51
45,Portugal vs Uzbekistan,Portugal,Win,66
29,USA vs Australia,USA,Win,62
42,France vs Iraq,France,Win,56
19,Argentina vs Algeria,Argentina,Win,48
94,USA vs Belgium,Belgium,Win,44
8,Haiti vs  Scotland,Scotland,Win,46
22,England  vs Croatia,England ,Win,52
68,Panama vs  England,England,Win,67
48,Colombia vs Congo DR,Colombia,Win,64
91,Brazil vs Norway,Norway,Win,66
50,Bosnia–Herz vs Qatar,Bosnia–Herz,Win,55
92,Mexico vs  England,England,Win,33
62,Senegal vs Iraq,Senegal,Win,69
98,Spain vs Belgium,Spain,Win,68
84,Portugal vs Croatia,Portugal,Win,61
78,France vs Sweden,France,Win,61
55,Curaçao vs Côte d'Ivoire,Côte d'Ivoire,Win,63
18,Iraq vs Norway,Norway,Win,61
88,Colombia vs Ghana,Colombia,Win,61
9,Germany vs Curaçao,Germany,Win,65
66,New Zealand vs Belgium,Belgium,Win,55
49,Switzerland vs Canada,Switzerland,Win,55
85,Switzerland vs Algeria,Switzerland,Win,45
57,Tunisia vs Netherlands,Netherlands,Win,72
77,Côte d'Ivoire vs Norway,Norway,Win,53
27,Canada vs Qatar,Canada,Win,79
54,Czechia vs Mexico,Mexico,Win,48
79,Mexico vs Ecuador,Mexico,Win,43
104,Spain vs Argentina,Spain,Win,65
12,Sweden vs Tunisia,Sweden,Win,49
69,Congo DR vs Uzbekistan,Congo DR,Win,58
74,Brazil vs Japan,Brazil,Win,69
30,Scotland  vs Morocco,Morocco,Win,59
90,Paraguay vs France,France,Win,76
37,Spain vs Saudi Arabia,Spain,Win,67
61,Norway vs France,France,Win,57
23,Ghana vs Panama,Ghana,Win,38
44,Jordan vs Algeria,Jordan,Loss,28
1,Mexico vs South Africa,South Africa,Loss,40
33,Netherlands vs Sweden,Sweden,Loss,49
45,Portugal vs Uzbekistan,Uzbekistan,Loss,34
29,USA vs Australia,Australia,Loss,38
42,France vs Iraq,Iraq,Loss,45
19,Argentina vs Algeria,Algeria,Loss,52
94,USA vs Belgium,USA,Loss,56
8,Haiti vs  Scotland,Haiti,Loss,54
22,England  vs Croatia,Croatia,Loss,48
68,Panama vs  England,Panama,Loss,33
48,Colombia vs Congo DR,Congo DR,Loss,37
91,Brazil vs Norway,Brazil,Loss,34
50,Bosnia–Herz vs Qatar,Qatar,Loss,46
92,Mexico vs  England,Mexico,Loss,67
62,Senegal vs Iraq,Iraq,Loss,31
98,Spain vs Belgium,Belgium,Loss,32
84,Portugal vs Croatia,Croatia,Loss,40
78,France vs Sweden,Sweden,Loss,39
55,Curaçao vs Côte d'Ivoire,Curaçao,Loss,37
18,Iraq vs Norway,Iraq,Loss,39
88,Colombia vs Ghana,Ghana,Loss,39
9,Germany vs Curaçao,Curaçao,Loss,35
66,New Zealand vs Belgium,New Zealand,Loss,45
49,Switzerland vs Canada,Canada,Loss,45
85,Switzerland vs Algeria,Algeria,Loss,55
57,Tunisia vs Netherlands,Tunisia,Loss,29
77,Côte d'Ivoire vs Norway,Côte d'Ivoire,Loss,47
27,Canada vs Qatar,Qatar,Loss,21
54,Czechia vs Mexico,Czechia,Loss,52
79,Mexico vs Ecuador,Ecuador,Loss,57
104,Spain vs Argentina,Argentina,Loss,35
12,Sweden vs Tunisia,Tunisia,Loss,51
69,Congo DR vs Uzbekistan,Uzbekistan,Loss,42
74,Brazil vs Japan,Japan,Loss,31
30,Scotland  vs Morocco,Scotland ,Loss,41
90,Paraguay vs France,Paraguay,Loss,24
37,Spain vs Saudi Arabia,Saudi Arabia,Loss,33
61,Norway vs France,Norway,Loss,43
23,Ghana vs Panama,Panama,Loss,62
