Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Brenden Aaronson,MF,us USA,25,0.8,3,1,1.18,MF,Midfielder,PL0001
Thelo Aasgaard,MF,no Norway,24,1.0,2,1,1.0,MF,Midfielder,PL0002
Hamza Abdelkarim,FW,eg Egypt,18,0.7,0,0,0.0,FW,Forward,PL0003
Yusuf Abdurisag,FW,qa Qatar,26,1.1,0,0,0.0,FW,Forward,PL0004
Elias Achouri,"FW,MF",tn Tunisia,27,0.5,3,1,2.09,FW,Forward,PL0005
Ché Adams,FW,sct Scotland,29,1.6,1,1,0.62,FW,Forward,PL0006
Jayden Adams,MF,za South Africa,25,1.3,0,0,0.0,MF,Midfielder,PL0007
Tyler Adams,MF,us USA,27,3.8,0,0,0.0,MF,Midfielder,PL0008
Simon Adingra,"FW,MF",ci Côte d'Ivoire,24,0.2,0,0,0.0,FW,Forward,PL0009
Michel Aebischer,"MF,FW",ch Switzerland,29,1.7,2,1,0.58,MF,Midfielder,PL0010
Akram Afif,"FW,MF",qa Qatar,29,2.6,2,0,0.0,FW,Forward,PL0011
Ali Ahmed,MF,ca Canada,25,2.6,2,1,0.38,MF,Midfielder,PL0012
Yunus Akgün,MF,tr Türkiye,25,1.0,0,0,0.0,MF,Midfielder,PL0013
Maghnes Akliouche,MF,fr France,24,0.1,0,0,0.0,MF,Midfielder,PL0014
Kerem Aktürko?lu,FW,tr Türkiye,27,1.4,3,1,0.7,FW,Forward,PL0015
Ahmed Alaaeldin,FW,qa Qatar,33,0.5,1,1,2.09,FW,Forward,PL0016
Kerim Alajbegovi?,MF,ba Bosnia–Herz,18,3.1,4,1,0.32,MF,Midfielder,PL0017
Jordy Alcivar,MF,ec Ecuador,26,0.5,1,0,0.0,MF,Midfielder,PL0018
Almoez Ali,FW,qa Qatar,29,0.2,1,1,4.74,FW,Forward,PL0019
Mohanad Ali,FW,iq Iraq,25,0.1,0,0,0.0,FW,Forward,PL0020
Taha Ali,"FW,MF",se Sweden,27,0.4,0,0,0.0,FW,Forward,PL0021
Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.5,0,0,0.0,MF,Midfielder,PL0022
Ali Alipour,FW,ir IR Iran,30,0.4,1,0,0.0,FW,Forward,PL0023
Thiago Almada,MF,ar Argentina,25,2.7,5,2,0.75,MF,Midfielder,PL0024
Miguel Almirón,"MF,FW",py Paraguay,32,3.1,4,0,0.0,MF,Midfielder,PL0025
Bar?? Alper Y?lmaz,"MF,FW",tr Türkiye,26,2.0,2,1,0.5,MF,Midfielder,PL0026
Roberto Alvarado,"FW,MF",mx Mexico,27,4.8,5,0,0.0,FW,Forward,PL0027
Edson Álvarez,"MF,DF",mx Mexico,28,2.7,2,0,0.0,MF,Midfielder,PL0028
Julián Álvarez,FW,ar Argentina,26,6.7,11,5,0.75,FW,Forward,PL0029
Ayoube Amaimouni,MF,ma Morocco,21,0.2,2,1,5.0,MF,Midfielder,PL0030
Zeki Amdouni,"FW,MF",ch Switzerland,25,0.8,1,0,0.0,FW,Forward,PL0031
Nadiem Amiri,MF,de Germany,29,0.5,2,1,2.14,MF,Midfielder,PL0032
Amir Al Ammari,MF,iq Iraq,28,2.7,0,0,0.0,MF,Midfielder,PL0033
Azizbek Amonov,FW,uz Uzbekistan,28,0.2,1,0,0.0,FW,Forward,PL0034
Mohamed Amoura,"FW,MF",dz Algeria,26,0.3,0,0,0.0,FW,Forward,PL0035
Sofyan Amrabat,MF,ma Morocco,29,1.6,0,0,0.0,MF,Midfielder,PL0036
Youssef Amyn,MF,iq Iraq,22,0.3,0,0,0.0,MF,Midfielder,PL0037
Elliot Anderson,MF,eng England,23,7.0,7,1,0.14,MF,Midfielder,PL0038
Nilson Angulo,MF,ec Ecuador,22,2.4,2,2,0.83,MF,Midfielder,PL0039
Jeremy Antonisse,"FW,MF",cw Curaçao,24,0.8,1,0,0.0,FW,Forward,PL0040
Houssem Aouar,MF,dz Algeria,27,1.9,3,1,0.52,MF,Midfielder,PL0041
Oswin Appollis,"MF,FW",za South Africa,24,2.8,4,1,0.35,MF,Midfielder,PL0042
Maxi Araújo,"FW,MF",uy Uruguay,26,2.8,4,3,1.08,FW,Forward,PL0043
Telmo Arcanjo,MF,cv Cabo Verde,24,0.6,0,0,0.0,MF,Midfielder,PL0044
Álex Arce,FW,py Paraguay,30,0.6,0,0,0.0,FW,Forward,PL0045
Carlens Arcus,"MF,DF",ht Haiti,29,1.6,0,0,0.0,MF,Midfielder,PL0046
Jhon Arias,MF,co Colombia,28,4.2,9,4,0.95,MF,Midfielder,PL0047
Marko Arnautovi?,FW,at Austria,37,1.6,3,3,1.87,FW,Forward,PL0048
Emam Ashour,MF,eg Egypt,28,4.0,10,2,0.5,MF,Midfielder,PL0049
Marwan Attia,MF,eg Egypt,27,4.8,4,0,0.0,MF,Midfielder,PL0050
Fredrik Aursnes,"MF,DF",no Norway,30,3.4,2,0,0.0,MF,Midfielder,PL0051
Gabriel Ávalos,FW,py Paraguay,35,1.6,1,0,0.0,FW,Forward,PL0052
Yasin Ayari,MF,se Sweden,22,3.8,7,3,0.8,MF,Midfielder,PL0053
Jordan Ayew,FW,gh Ghana,34,3.3,0,0,0.0,FW,Forward,PL0054
Neil El Aynaoui,MF,ma Morocco,24,6.2,7,2,0.32,MF,Midfielder,PL0055
Ali Azaizeh,MF,jo Jordan,22,0.6,2,0,0.0,MF,Midfielder,PL0056
Juninho Bacuna,MF,cw Curaçao,28,2.8,5,1,0.35,MF,Midfielder,PL0057
Leandro Bacuna,MF,cw Curaçao,34,3.0,6,1,0.33,MF,Midfielder,PL0058
Álex Baena,"MF,FW",es Spain,24,5.3,12,5,0.94,MF,Midfielder,PL0059
Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2.6,3,2,0.78,MF,Midfielder,PL0060
Cédric Bakambu,FW,cd Congo DR,35,2.1,3,0,0.0,FW,Forward,PL0061
Folarin Balogun,FW,us USA,24,3.5,14,5,1.44,FW,Forward,PL0062
Simon Banza,"FW,MF",cd Congo DR,29,0.4,0,0,0.0,FW,Forward,PL0063
Yoel Bárcenas,MF,pa Panama,32,2.8,2,0,0.0,MF,Midfielder,PL0064
Bradley Barcola,MF,fr France,23,4.3,10,5,1.17,MF,Midfielder,PL0065
Ivan Baši?,MF,ba Bosnia–Herz,24,2.0,4,0,0.0,MF,Midfielder,PL0066
Martin Baturina,"MF,FW",hr Croatia,23,3.6,3,1,0.28,MF,Midfielder,PL0067
Ibrahim Bayesh,"MF,FW",iq Iraq,26,2.6,1,0,0.0,MF,Midfielder,PL0068
Samed Baždar,FW,ba Bosnia–Herz,22,0.3,0,0,0.0,FW,Forward,PL0069
Aziz Behich,MF,au Australia,35,2.4,1,1,0.41,MF,Midfielder,PL0070
Maximilian Beier,"FW,MF",de Germany,23,0.3,0,0,0.0,FW,Forward,PL0071
Joe Bell,MF,nz New Zealand,27,2.7,1,0,0.0,MF,Midfielder,PL0072
Jean-Ricner Bellegarde,MF,ht Haiti,27,2.9,6,0,0.0,MF,Midfielder,PL0073
Jude Bellingham,MF,eng England,22,6.8,19,13,1.91,MF,Midfielder,PL0074
Anis Ben Slimane,"MF,FW",tn Tunisia,25,2.7,1,1,0.37,MF,Midfielder,PL0075
Nadhir Benbouali,FW,dz Algeria,26,0.5,2,2,4.0,FW,Forward,PL0076
Gilson Benchimol,FW,cv Cabo Verde,24,0.9,0,0,0.0,FW,Forward,PL0077
Nabil Bentaleb,MF,dz Algeria,31,3.2,1,0,0.0,MF,Midfielder,PL0078
Rodrigo Bentancur,MF,uy Uruguay,28,3.0,4,0,0.0,MF,Midfielder,PL0079
Patrick Berg,MF,no Norway,28,4.9,3,0,0.0,MF,Midfielder,PL0080
Sander Berge,MF,no Norway,28,5.3,0,0,0.0,MF,Midfielder,PL0081
Lucas Bergvall,MF,se Sweden,20,2.0,2,0,0.0,MF,Midfielder,PL0082
Sebastian Berhalter,MF,us USA,25,2.1,3,1,0.48,MF,Midfielder,PL0083
Alexander Bernhardsson,MF,se Sweden,27,2.4,1,1,0.41,MF,Midfielder,PL0084
César Blackman,"MF,DF",pa Panama,28,2.0,2,1,0.51,MF,Midfielder,PL0085
Damián Bobadilla,MF,py Paraguay,24,2.1,0,0,0.0,MF,Midfielder,PL0086
Oscar Bobb,FW,no Norway,22,2.5,4,2,0.8,FW,Forward,PL0087
Theo Bongonda,"FW,MF",cd Congo DR,30,0.4,1,0,0.0,FW,Forward,PL0088
Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2.6,1,1,0.38,FW,Forward,PL0089
Jordy Bos,"MF,DF",au Australia,23,3.4,5,2,0.58,MF,Midfielder,PL0090
Ayyoub Bouaddi,MF,ma Morocco,18,4.2,3,0,0.0,MF,Midfielder,PL0091
Hicham Boudaoui,MF,dz Algeria,26,1.4,0,0,0.0,MF,Midfielder,PL0092
Karim Boudiaf,MF,qa Qatar,35,1.1,1,0,0.0,MF,Midfielder,PL0093
Adil Boulbina,FW,dz Algeria,23,0.2,0,0,0.0,FW,Forward,PL0094
Brian Brobbey,FW,nl Netherlands,24,2.5,4,3,1.21,FW,Forward,PL0095
Tajon Buchanan,MF,ca Canada,27,4.2,6,3,0.72,MF,Midfielder,PL0096
Ante Budimir,FW,hr Croatia,34,1.7,3,1,0.58,FW,Forward,PL0097
Firas Al-Buraikan,FW,sa Saudi Arabia,26,2.6,0,0,0.0,FW,Forward,PL0098
Dženis Burni?,MF,ba Bosnia–Herz,28,0.2,1,0,0.0,MF,Midfielder,PL0099
Gustavo Caballero,"FW,MF",py Paraguay,24,1.1,1,1,0.94,FW,Forward,PL0100
Jovane Cabral,FW,cv Cabo Verde,28,1.5,2,0,0.0,FW,Forward,PL0101
Jordy Caicedo,FW,ec Ecuador,28,0.2,1,0,0.0,FW,Forward,PL0102
Moisés Caicedo,MF,ec Ecuador,24,4.0,4,1,0.25,MF,Midfielder,PL0103
Hakan Çalhano?lu,MF,tr Türkiye,32,2.0,11,2,1.0,MF,Midfielder,PL0104
Lamine Camara,MF,sn Senegal,22,2.8,3,0,0.0,MF,Midfielder,PL0105
Jaminton Campaz,"FW,MF",co Colombia,26,0.8,6,3,3.6,FW,Forward,PL0106
Agustín Canobbio,FW,uy Uruguay,27,2.5,4,1,0.4,FW,Forward,PL0107
Casemiro,MF,br Brazil,34,4.2,4,2,0.47,MF,Midfielder,PL0108
Josué Casimir,MF,ht Haiti,24,2.0,1,0,0.0,MF,Midfielder,PL0109
Kevin Castaño,MF,co Colombia,25,0.2,0,0,0.0,MF,Midfielder,PL0110
Jens Castrop,MF,kr Korea Republic,22,0.5,0,0,0.0,MF,Midfielder,PL0111
